,name,identifier,url,image,sameAs,datePublished,dateModified,eventStatus,startDate,endDate,previousStartDate,doorTime,location$@type,location$name,location$identifier,location$url,location$image,location$datePublished,location$dateModified,location$address$@type,location$address$streetAddress,location$address$addressLocality,location$address$postalCode,location$address$addressRegion$@type,location$address$addressRegion$identifier,location$address$addressRegion$name,location$address$addressRegion$alternateName,location$address$addressCountry$@type,location$address$addressCountry$identifier,location$address$addressCountry$name,location$address$addressCountry$alternateName,location$address$x-streetAddress2,location$address$x-timezone,location$address$x-jamBaseMetroId,location$address$x-jamBaseCityId,location$geo$@type,location$geo$latitude,location$geo$longitude,location$sameAs,location$maximumAttendeeCapacity,location$x-isPermanentlyClosed,location$x-numUpcomingEvents,offers,performer,eventAttendanceMode,isAccessibleForFree,x-streamIds,x-headlinerInSupport,x-promoImage,
@type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14283922,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251221,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-14T14:29:33Z,2025-09-06T15:18:45Z,scheduled,2025-12-21T20:00:00,12/21/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Concert,Bad Bunny at Estadio Nacional,jambase:14247346,https://www.jambase.com/show/bad-bunny-estadio-nacional-20260109,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:48:53Z,2025-10-29T13:54:23Z,scheduled,2026-01-09T21:00:00,1/9/26,,,Venue,Estadio Nacional,jambase:428017,https://www.jambase.com/venue/estadio-nacional-santiago-cl,,2015-09-03T03:18:05Z,2025-11-04T14:17:16Z,PostalAddress,2001 Avenida Grecia,Ñuñoa,7780464,NA,NA,NA,NA,Country,CL,Chile,CHL,,America/Santiago,,,GeoCoordinates,-33.4643,-70.6115,<data.frame[1 x 3]>,48665,FALSE,11,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Concert,Bad Bunny at Estadio Nacional,jambase:14869318,https://www.jambase.com/show/bad-bunny-estadio-nacional-20260110,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-09-03T14:00:30Z,2025-10-29T13:54:36Z,scheduled,2026-01-10T21:00:00,1/10/26,,,Venue,Estadio Nacional,jambase:428017,https://www.jambase.com/venue/estadio-nacional-santiago-cl,,2015-09-03T03:18:05Z,2025-11-04T14:17:16Z,PostalAddress,2001 Avenida Grecia,Ñuñoa,7780464,NA,NA,NA,NA,Country,CL,Chile,CHL,,America/Santiago,,,GeoCoordinates,-33.4643,-70.6115,<data.frame[1 x 3]>,48665,FALSE,11,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Concert,Bad Bunny at Estadio Nacional,jambase:14305243,https://www.jambase.com/show/bad-bunny-estadio-nacional-20260111,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:51:02Z,2025-10-29T13:54:50Z,scheduled,2026-01-11T21:00:00,1/11/26,,,Venue,Estadio Nacional,jambase:428017,https://www.jambase.com/venue/estadio-nacional-santiago-cl,,2015-09-03T03:18:05Z,2025-11-04T14:17:16Z,PostalAddress,2001 Avenida Grecia,Ñuñoa,7780464,NA,NA,NA,NA,Country,CL,Chile,CHL,,America/Santiago,,,GeoCoordinates,-33.4643,-70.6115,<data.frame[1 x 3]>,48665,FALSE,11,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Concert,Bad Bunny at Estadio Nacional,jambase:14247343,https://www.jambase.com/show/bad-bunny-estadio-nacional-20260116,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:46:09Z,2025-10-29T13:53:47Z,scheduled,2026-01-16T19:00:00,1/16/26,,,Venue,Estadio Nacional,jambase:428108,https://www.jambase.com/venue/estadio-nacional-lima-pe,,2015-09-03T03:18:45Z,2025-11-06T15:17:27Z,PostalAddress,s/n Calle José Díaz,Lima,15046,NA,NA,NA,NA,Country,PE,Peru,PER,,America/Lima,,3118431,GeoCoordinates,-12.0673,-77.0337,<data.frame[0 x 0]>,50000,FALSE,9,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Concert,Bad Bunny at Estadio Nacional,jambase:14305231,https://www.jambase.com/show/bad-bunny-estadio-nacional-20260117,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:50:42Z,2025-10-29T13:54:00Z,scheduled,2026-01-17T19:00:00,1/17/26,,,Venue,Estadio Nacional,jambase:428108,https://www.jambase.com/venue/estadio-nacional-lima-pe,,2015-09-03T03:18:45Z,2025-11-06T15:17:27Z,PostalAddress,s/n Calle José Díaz,Lima,15046,NA,NA,NA,NA,Country,PE,Peru,PER,,America/Lima,,3118431,GeoCoordinates,-12.0673,-77.0337,<data.frame[0 x 0]>,50000,FALSE,9,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Concert,Bad Bunny at Estadio Atanasio Girardot,jambase:14247339,https://www.jambase.com/show/bad-bunny-estadio-atanasio-girardot-20260123,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:44:12Z,2025-05-30T15:44:50Z,scheduled,2026-01-23T19:00:00,1/23/26,,,Venue,Estadio Atanasio Girardot,jambase:2549245,https://www.jambase.com/venue/estadio-atanasio-girardot,,2016-07-15T02:10:44Z,2025-11-06T19:17:10Z,PostalAddress,48010 Carrera 74,Medellín,50034,NA,NA,NA,NA,Country,CO,Colombia,COL,,America/Bogota,,1134336,GeoCoordinates,6.2568,-75.5902,<data.frame[0 x 0]>,40943,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Concert,Bad Bunny at Estadio Atanasio Girardot,jambase:14305234,https://www.jambase.com/show/bad-bunny-estadio-atanasio-girardot-20260124,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:50:48Z,2025-08-11T13:04:15Z,scheduled,2026-01-24T20:00:00,1/24/26,,,Venue,Estadio Atanasio Girardot,jambase:2549245,https://www.jambase.com/venue/estadio-atanasio-girardot,,2016-07-15T02:10:44Z,2025-11-06T19:17:10Z,PostalAddress,48010 Carrera 74,Medellín,50034,NA,NA,NA,NA,Country,CO,Colombia,COL,,America/Bogota,,1134336,GeoCoordinates,6.2568,-75.5902,<data.frame[0 x 0]>,40943,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Concert,Bad Bunny at Estadio Atanasio Girardot,jambase:14305237,https://www.jambase.com/show/bad-bunny-estadio-atanasio-girardot-20260125,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:50:51Z,2025-08-11T13:04:32Z,scheduled,2026-01-25T19:00:00,1/25/26,,,Venue,Estadio Atanasio Girardot,jambase:2549245,https://www.jambase.com/venue/estadio-atanasio-girardot,,2016-07-15T02:10:44Z,2025-11-06T19:17:10Z,PostalAddress,48010 Carrera 74,Medellín,50034,NA,NA,NA,NA,Country,CO,Colombia,COL,,America/Bogota,,1134336,GeoCoordinates,6.2568,-75.5902,<data.frame[0 x 0]>,40943,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Concert,Bad Bunny at Estadio River Plate,jambase:14247350,https://www.jambase.com/show/bad-bunny-estadio-river-plate-20260213,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:50:51Z,2025-06-26T23:04:18Z,scheduled,2026-02-13T21:00:00,2/13/26,,,Venue,Estadio River Plate,jambase:428238,https://www.jambase.com/venue/river-plate-stadium,,2015-09-03T03:19:36Z,2025-11-03T15:45:43Z,PostalAddress,7597 Avenida Presidente Figueroa Alcorta,Buenos Aires,C1424,NA,NA,NA,NA,Country,AR,Argentina,ARG,,America/Argentina/Buenos_Aires,,150433,GeoCoordinates,-34.5455,-58.4497,<data.frame[1 x 3]>,61321,FALSE,10,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
